Positions Details,
OpenDate,Serial_No,Exchange,Product Code,L-Lots,BidPrice,S-Lots,AskPrice,Previous_SP,SP,Float_P/L,MTM_P/L,H/S,Margin,Contract Size,Account Code,Expiry Year,Expiry Month,
26/5/2017,10112881,DCE,m1709,0,0.000,10,2704.000,2635.000,2623.00,8100.00,1200.00,Spec,18361.00,10,99918803,2017,09,
26/5/2017,10112882,DCE,m1709,0,0.000,15,2704.000,2635.000,2623.00,12150.00,1800.00,Spec,27541.50,10,99918803,2017,09,
26/5/2017,10112883,DCE,m1709,0,0.000,1,2704.000,2635.000,2623.00,810.00,120.00,Spec,1836.10,10,99918803,2017,09,
26/5/2017,10112884,DCE,m1709,0,0.000,1,2704.000,2635.000,2623.00,810.00,120.00,Spec,1836.10,10,99918803,2017,09,
26/5/2017,10112885,DCE,m1709,0,0.000,1,2704.000,2635.000,2623.00,810.00,120.00,Spec,1836.10,10,99918803,2017,09,
26/5/2017,10112886,DCE,m1709,0,0.000,5,2704.000,2635.000,2623.00,4050.00,600.00,Spec,9180.50,10,99918803,2017,09,
26/5/2017,10112887,DCE,m1709,0,0.000,1,2704.000,2635.000,2623.00,810.00,120.00,Spec,1836.10,10,99918803,2017,09,
26/5/2017,10112888,DCE,m1709,0,0.000,3,2704.000,2635.000,2623.00,2430.00,360.00,Spec,5508.30,10,99918803,2017,09,
26/5/2017,10112890,DCE,m1709,0,0.000,1,2704.000,2635.000,2623.00,810.00,120.00,Spec,1836.10,10,99918803,2017,09,
26/5/2017,10112894,DCE,m1709,0,0.000,15,2704.000,2635.000,2623.00,12150.00,1800.00,Spec,27541.50,10,99918803,2017,09,
26/5/2017,10112899,DCE,m1709,0,0.000,12,2704.000,2635.000,2623.00,9720.00,1440.00,Spec,22033.20,10,99918803,2017,09,
26/5/2017,10112900,DCE,m1709,0,0.000,18,2703.000,2635.000,2623.00,14400.00,2160.00,Spec,33049.80,10,99918803,2017,09,
26/5/2017,10112901,DCE,m1709,0,0.000,15,2703.000,2635.000,2623.00,12000.00,1800.00,Spec,27541.50,10,99918803,2017,09,
